mes,dia,centro_custo,centro_custo_busca,rateio,rateio_busca,horas,observacao
2026 - Julho,01,PROPOSTA,PROP,PROPOSTA - Acompanhamento de Propostas,Acompanhamento,0300,"Acompanhamento de propostas comerciais, organização das informações e atualização de pendências."
2026 - Julho,01,ADM MARKETING,ADM MARKETING,,,0300,"Elaboração, revisão e organização de demandas de comunicação e marketing."
2026 - Julho,01,ADM Atividades Adm,ADM Atividades,,,0200,"Apoio administrativo, alinhamentos internos e organização de demandas gerais."
2026 - Julho,02,MRN CT 4343/2026,MRN CT 4343,,,0400,"Apoio nas demandas do projeto, conferência de informações e acompanhamento de pendências."
2026 - Julho,02,ADM HSE,ADM HSE,,,0200,"Apoio em rotinas de HSE, organização de informações e acompanhamento de ações internas."
2026 - Julho,02,ADM Atividades Adm,ADM Atividades,,,0200,Apoio administrativo e organização de registros internos.
2026 - Julho,03,AGA CT 15140/2025 - CB,AGA CT,,,0400,"Acompanhamento de demandas do projeto, organização de informações e suporte às atividades administrativas."
2026 - Julho,03,ADM LOGISTICA,ADM LOGISTICA,,,0200,"Apoio em demandas de logística, alinhamentos e organização de informações operacionais."
2026 - Julho,03,ADM SUPRIMENTOS,ADM SUPRIMENTOS,,,0200,"Apoio em demandas de suprimentos, conferência de informações e acompanhamento de pendências."
2026 - Julho,06,BH AIRPORT CT 4600084150/2024,BH AIRPORT,,,0500,"Acompanhamento de atividades do projeto, revisão de informações e suporte às demandas de execução."
2026 - Julho,06,ADM MEDICAO,ADM MEDICAO,,,0300,"Conferência de informações de medição, organização de registros e apoio ao fechamento de dados."
2026 - Julho,07,AMG CT 20.022/2020 - Geral,AMG CT 20.022,,,0300,"Acompanhamento de demandas do contrato, organização de informações e atualização de pendências."
2026 - Julho,07,MRN 3686 BAQ,MRN 3686,,,0300,"Apoio às demandas do projeto, conferência de informações e organização de registros."
2026 - Julho,07,ADM FINANCEIRO,ADM FINANCEIRO,,,0200,"Apoio em demandas financeiras, conferência de informações e organização de pendências."
2026 - Julho,08,SVPM CT 072/2024,SVPM CT,,,0400,"Acompanhamento de demandas do projeto, organização de informações e atualização de registros."
2026 - Julho,08,PROPOSTA,PROP,PROPOSTA - PR 007/2025 - STATE GRID - PLANO DE MANEJO,STATE GRID,0200,"Apoio à proposta, revisão de informações e organização de pendências comerciais."
2026 - Julho,08,ADM DESENVOLVIMENTO / INOVAÇÃO,ADM DESENVOLVIMENTO,,,0200,"Apoio em atividades de inovação, organização de ideias e estruturação de melhorias internas."
2026 - Julho,09,MRN CT 3581/2022,MRN CT 3581,,,0300,"Acompanhamento de atividades do projeto, conferência de informações e atualização de registros."
2026 - Julho,09,ADM MEIO AMBIENTE E SUSTENTABILIDADE,ADM MEIO,,,0300,"Apoio em demandas ambientais e de sustentabilidade, organização de informações e registros."
2026 - Julho,09,ADM Qualidade / ISO,ADM Qualidade,,,0200,"Apoio em rotinas de qualidade, revisão de documentos e organização de evidências."
